WKT,name,lon,lat,x,y,z,cluster,color
POINT (-118.3514773 34.0412734),"A1 Electronic Recycling,",-118.3514773,34.0412734,-0.3935012084598457,-0.7292406998842026,0.5597899611220619,1,#31688e
POINT (-118.42281 34.204152),"eWaste U.S. Electronics Recycling,",-118.42281,34.204152,-0.39364976514477223,-0.7273477569653192,0.562143311655475,1,#31688e
POINT (-118.6000354 34.2135694),"CAL E-WASTE RECYCLE LLC,",-118.6000354,34.2135694,-0.3958534514563214,-0.726045522711933,0.5622792401645945,1,#31688e
POINT (-118.4856892 34.2018167),"E -Waste LA (Data Destruction Company),",-118.4856892,34.2018167,-0.3944586824572571,-0.7269354462499628,0.5621096021413017,1,#31688e
POINT (-118.4168123 34.2606906),"pasadena tech recycle inc,",-118.4168123,34.2606906,-0.3933094541472984,-0.7269007296979552,0.5629591481119518,1,#31688e
POINT (-117.8384794 33.7239286),"TechWaste Recycling Inc.,",-117.8384794,33.7239286,-0.3883982025765185,-0.7354650689619817,0.5551918304262745,1,#31688e
POINT (-117.2649496 33.21388990000001),"Electronic Waste Recycling Facility ECC, Inc.,",-117.2649496,33.21388990000001,-0.3832658153284813,-0.7436798093225689,0.5477660595605957,1,#31688e
POINT (-119.7768516 36.6877343),"ERI - Electronic Recyclers International,",-119.7768516,36.6877343,-0.39824401770361645,-0.6960251630830614,0.5974534916782054,1,#31688e
POINT (-80.25504 25.824448),"Electronic Recycling Center,",-80.25504,25.824448,0.15235903632813277,-0.8871449152365324,0.4356152240442573,3,#fde725
POINT (-84.22738559999999 33.93449200000001),"eWaste ePlanet | Electronics Recycling, Data Destruction and ITAD Services,",-84.22738559999999,33.93449200000001,0.08344948313733876,-0.8254689983537529,0.5582446744223923,3,#fde725
POINT (-117.1002034 32.6542829),"Dream Electronic Recycling FREE E-WASTE DROP OFF \ PICK UP South Bay,",-117.1002034,32.6542829,-0.38354485938163463,-0.7495058130392647,0.5395686954061297,1,#31688e
POINT (-118.3446513 34.0893835),"Electronics Recycling (Best Buy),",-118.3446513,34.0893835,-0.39319102316366084,-0.7288736283727729,0.5604855512555365,1,#31688e
POINT (-118.2590119 34.0891616),"Glendale Recycling Center,",-118.2590119,34.0891616,-0.3921021723283824,-0.7294624244398858,0.5604823438661091,1,#31688e
POINT (-118.2113685 33.7853098),"Secure E-Waste Destruction,",-118.2113685,33.7853098,-0.3928950618765656,-0.7323972146347572,0.5560825391506724,1,#31688e
POINT (-117.6720809 33.6645622),"Green Leaf Electronic & E-Waste Recycling,",-117.6720809,33.6645622,-0.3865275762934501,-0.737099015236612,0.5543297524956854,1,#31688e
POINT (-118.4301037 34.2133371),"Surplus Recycling,",-118.4301037,34.2133371,-0.3936994439690153,-0.7272183814264775,0.5622758873844249,1,#31688e
POINT (-121.8835752 37.4108362),"Green Ewaste Recycling Center,",-121.8835752,37.4108362,-0.4195451016160542,-0.674458283829627,0.6075260744063328,1,#31688e
POINT (-112.0703562 33.69593819999999),"Global Electronic Recycling,",-112.0703562,33.69593819999999,-0.31261725027331605,-0.771027601483106,0.5547854473422672,2,#35b779
POINT (-111.9121508 33.61743429999999),"Arizona Electronic Recycle,",-111.9121508,33.61743429999999,-0.31077047689471854,-0.7725923621550815,0.5536449698410169,2,#35b779
