WKT,Nombre,Descripción
"POINT (-118.242643 34.0549076)",Los Ángeles,7000000
"POINT (-74.0059728 40.7127753)",Nueva York,21000000
"POINT (-95.37011079999999 29.7600771)",Houston,3000000
"POINT (-87.6297982 41.8781136)",Chicago,13000000
"POINT (-112.0776781 33.4482266)",Phoenix,12000000
"POINT (-96.79698789999999 32.7766642)",Dallas,11000000
"POINT (-117.1610838 32.715738)",San Diego,1000000
"POINT (-98.4945922 29.4251905)",San Antonio,900000
"POINT (-75.1652215 39.9525839)",Filadelfia,800000
"POINT (-121.8852525 37.33874)",San José,700000
