WKT,name,description
"POINT (-117.5343363 33.8795296)","US Battery Manufacturing Co,"
"POINT (-90.44327229999999 38.7161681)","Electro Battery Manufacturing Co,"
"POINT (-86.9193055 38.9043626)","Battery Innovation Center, Inc.,"
"POINT (-85.8845077 37.5883111)","BlueOvalSK Battery Park,"
"POINT (-84.9891901 37.0669259)","Superior Battery Manufacturing Company, Inc.,"
"POINT (-82.123291 33.54465479999999)","US Battery Mfg Co,"
"POINT (-82.0072474 33.37056)","US Battery Manufacturing Co,"
"POINT (-79.6403983 35.8924702)","Toyota Battery Manufacturing,"
"POINT (-84.259261 39.5690389)","American Battery Solutions, Inc.,"
"POINT (-122.6178412 45.3981271)","Battery Factory,"
