WKT,name
"POINT (-118.3514773 34.0412734)","A1 Electronic Recycling,"
"POINT (-118.42281 34.204152)","eWaste U.S. Electronics Recycling,"
"POINT (-118.6000354 34.2135694)","CAL E-WASTE RECYCLE LLC,"
"POINT (-118.4856892 34.2018167)","E -Waste LA (Data Destruction Company),"
"POINT (-118.4168123 34.2606906)","pasadena tech recycle inc,"
"POINT (-117.8384794 33.7239286)","TechWaste Recycling Inc.,"
"POINT (-117.2649496 33.21388990000001)","Electronic Waste Recycling Facility ECC, Inc.,"
"POINT (-119.7768516 36.6877343)","ERI - Electronic Recyclers International,"
"POINT (-80.25504 25.824448)","Electronic Recycling Center,"
"POINT (-84.22738559999999 33.93449200000001)","eWaste ePlanet | Electronics Recycling, Data Destruction and ITAD Services,"
"POINT (-117.1002034 32.6542829)","Dream Electronic Recycling FREE E-WASTE DROP OFF \ PICK UP South Bay,"
"POINT (-118.3446513 34.0893835)","Electronics Recycling (Best Buy),"
"POINT (-118.2590119 34.0891616)","Glendale Recycling Center,"
"POINT (-118.2113685 33.7853098)","Secure E-Waste Destruction,"
"POINT (-117.6720809 33.6645622)","Green Leaf Electronic & E-Waste Recycling,"
"POINT (-118.4301037 34.2133371)","Surplus Recycling,"
"POINT (-121.8835752 37.4108362)","Green Ewaste Recycling Center,"
"POINT (-112.0703562 33.69593819999999)","Global Electronic Recycling,"
"POINT (-111.9121508 33.61743429999999)","Arizona Electronic Recycle,"
"POINT (-111.83506 33.408256)","Broadway Indoor Recycling Center,"
"POINT (-111.9576981 33.40098529999999)","TechRec Recycling - Electronics Recycling,"
"POINT (-112.0039701 33.3921363)","Tree of Life - Electronic Recycling,"
"POINT (-111.5404725 33.38042889999999)","EVT Recycling,"
"POINT (-112.0645515 33.4454075)","Westech Recyclers,"
"POINT (-112.1047416 33.4718324)","Agape Computer and Electronics Recycling,"
"POINT (-112.1308215 33.46679199999999)","Electronic Recycling LLC,"
"POINT (-112.1339227 33.4855538)","EWS | Electronics Recycling Service,"
"POINT (-106.601978 35.1617606)","Albuquerque Computer & Electronics Recycling Co,"
"POINT (-103.1959892 34.3923748)","Ed's Recycling Center, Inc,"
"POINT (-106.8174961 32.2945612)","Las Cruces Recycling Center,"
"POINT (-106.0364449 35.6347131)","Lucia Lane Recycling Center,"
"POINT (-105.9790191 35.6932067)","Santa Fe Solid Waste Management Agency’s,"
"POINT (-105.9377966 35.6869812)","New Mexico Recycling Coalition,"
"POINT (-106.6611384 35.191613)","E-Tech Recycle,"
"POINT (-106.64444 35.1023042)","W Silver Recycling, Inc. - Albuquerque,"
"POINT (-106.6291918 35.1352197)","Earth Day Recycling Co,"
"POINT (-96.7690561 32.8838551)","STS Electronic Recycling,"
"POINT (-96.8273538 33.15346510000001)","Frisco Environmental Collection Center,"
"POINT (-97.00398419999999 32.9430407)","United Electronic Recycling,"
"POINT (-96.8946619 32.8771697)","E-Cycle Enterprises,"
"POINT (-96.8780134 32.8618783)","Texas Electronics Recycling,"
"POINT (-97.73817129999999 30.2132704)","Austin Recycle & Reuse Drop-off Center,"
"POINT (-95.58273899999999 29.9389734)","Texas Electronic Recyclers,"
"POINT (-95.4458264 29.819112)","E & E Electronics recycling,"
"POINT (-95.6037848 29.6224713)","STS Electronics Recycling Sugar Land,"
"POINT (-95.6237116 29.6702434)","EverTrade Electronics Recycling Center,"
"POINT (-115.162006 36.1497229)","Nevada State Recycle,"
"POINT (-115.0214283 36.0634525)","Nevada Recycling,"
"POINT (-115.129013 35.98764799999999)","PedalPoint evTerra Recycling,"
"POINT (-115.193616 36.0451545)","Advanced Technology Recycling (ATR),"
"POINT (-115.1853474 36.0787172)","BB Recycling,"
"POINT (-115.1773029 36.1340222)","Dunn & Son-Electronic Recycler,"
"POINT (-115.0950393 36.24378960000001)","Nevada Recycling,"
"POINT (-115.1867236 36.1314064)","Sustain Vegas,"
"POINT (-115.162006 36.1497229)","Nevada State Recycle,"
"POINT (-119.7032542 39.1873735)","Greener World Recycling,"
"POINT (-115.1867236 36.1314064)","Sustain Vegas,"
"POINT (-115.0214283 36.0634525)","Nevada Recycling,"
"POINT (-119.7008748 39.188014)","NV Recycling LLC,"
"POINT (-115.129013 35.987648)","PedalPoint evTerra Recycling,"
"POINT (-115.1854335 36.078715)","BB Recycling,"
"POINT (-115.0950232 36.2437766)","Nevada Recycling,"
"POINT (-115.193616 36.0451545)","Advanced Technology Recycling (ATR),"
"POINT (-115.1773029 36.1340222)","Dunn & Son-Electronic Recycler,"
